abalone,any of various large edible marine gastropods of the genus Haliotis having an ear-shaped shell with pearly interior ,1
abattoir,a building where animals are butchered ,2
aberrant,markedly different from an accepted norm,3
abhorrent,offensive to the mind,4
abjuration,a disavowal or taking back of a previous assertion ,5
ablution,the ritual washing of a priest's hands or of sacred vessels,6
abscess,symptom consisting of a localized collection of pus surrounded by inflamed tissue,7
abstinence,the trait of abstaining (especially from alcohol) ,8
abusively,in an abusive manner,9
abysmal,very great,10
accelerate,move faster,11
accolade,a tangible symbol signifying approval or distinction,12
achromatic,having no hue,13
acoustics,the study of the physical properties of sound,14
acrimony,a rough and bitter manner ,15
addendum,textual matter that is added onto a publication,16
adjacent,nearest in space or position,17
adjudicate,put on trial or hear a case and sit as the judge at the trial of,18
admeasure,determine the quantity of someone's share,19
admonitory,serving to warn,20
adumbrate,describe roughly or briefly or give the main points or summary of,21
afferent,of nerves and nerve impulses,22
affluence,abundant wealth,23
agglomeration,a jumbled collection or mass,24
agitator,one who agitates,25
aleatory,dependent on chance,26
allegretto,in a moderately quick tempo,27
amalgam,an alloy of mercury with another metal (usually silver) used by dentists to fill cavities in teeth,28
amanuensis,someone skilled in the transcription of speech (especially dictation) ,29
ambidextrous,equally skillful with each hand,30
ambient,completely enveloping,31
ambiguity,an expression whose meaning cannot be determined from its context,32
ambuscade,the act of concealing yourself and lying in wait to attack by surprise ,33
amenable,disposed or willing to comply,34
ammeter,a meter that measures the flow of electrical current in amperes,35
anachronous,chronologically misplaced,36
anaglyph,moving or still pictures in contrasting colors that appear three-dimensional when superimposed,37
analgesic,capable of relieving pain,38
anaphoric,relating to anaphora,39
anathema,a detested person,40
anchovy,tiny fishes usually canned or salted,41
andiron,metal supports for logs in a fireplace,42
anisette,liquorice-flavored usually colorless sweet liqueur made from aniseed ,43
antagonistic,indicating opposition or resistance ,44
anthropoid,resembling apes ,45
antibiotic,of or relating to antibiotic drugs n 1: a chemical substance derivable from a mold or bacterium that can kill microorganisms and cure bacterial infections,46
antidote,a remedy that stops or controls the effects of a poison ,47
antiphony,alternate (responsive) singing by a choir in two parts,48
antiseptic,thoroughly clean and free of or destructive to disease- causing organisms,49
aphasia,inability to use or understand language (spoken or written) because of a brain lesion,50
apologia,a formal written defense of something you believe in strongly ,51
apostate,not faithful to religion or party or cause n 1: a disloyal person who betrays or deserts his cause or religion or political party or friend etc. ,52
apprehensible,capable of being apprehended or understood ,53
approbation,official approval,54
aquamarine,a transparent variety of beryl that is blue green in color,55
aquiline,curved down like an eagle's beak ,56
arabesque,position in which the dancer has one leg raised behind and arms outstretched in a conventional pose,57
arduousness,extreme effortfulness ,58
arthritis,inflammation of a joint or joints,59
ascender,someone who ascends,60
assailant,someone who attacks ,61
assiduous,marked by care and persistent effort,62
assonance,the repetition of similar vowels in the stressed syllables of successive words ,63
astigmatism,(ophthalmology) impaired eyesight resulting usually from irregular conformation of the cornea,64
astrology,a pseudoscience claiming divination by the positions of the planets and sun and moon ,65
atheism,the doctrine or belief that there is no God ,66
atrocious,shockingly brutal or cruel,67
avionics,science and technology of electronic systems and devices for aeronautics and astronautics,68
babushka,a woman's headscarf folded into a triangle and tied under the chin,69
bacteriology,the branch of medical science that studies bacteria in relation to disease,70
bagatelle,a light piece of music for piano,71
balalaika,a stringed instrument that has a triangular body and three strings,72
balbriggan,a cotton knit fabric used for underwear,73
ballast,any heavy material used to stabilize a ship or airship,74
ballerina,a female ballet dancer ,75
ballistic,relating to or characteristic of the motion of objects moving under their own momentum and the force of gravity,76
bamboozle,conceal one's true motives from especially by elaborately feigning good intentions so as to gain an end,77
banality,a trite or obvious remark ,78
barleycorn,a grain of barley,79
barometer,an instrument that measures atmospheric pressure,80
baroness,a noblewoman who holds the rank of baron or who is the wife or widow of a baron,81
barratry,traffic in ecclesiastical offices or preferments ,82
basilica,an early Christian church designed like a Roman basilica,83
bassoonist,a musician who plays the bassoon,84
bathymetry,measuring the depths of the oceans ,85
